Date,Low,High,Close,Volume,Open
2018-04-10-18-00,0.058985,0.0591924,0.05900502,9.37983698,0.058985
2018-04-10-18-30,0.05889087,0.059185,0.05914,6.60539129,0.05913978
2018-04-10-19-00,0.05897,0.05936402,0.05936402,16.80038854,0.05913999
2018-04-10-19-30,0.05930464,0.05965562,0.0594952,39.83864881,0.059364
2018-04-10-20-00,0.05948026,0.05997998,0.05969,73.9839051,0.05954579
2018-04-10-20-30,0.05948047,0.0597838,0.059515,11.39088828,0.0597212
2018-04-10-21-00,0.05949596,0.05987263,0.05979981,10.32095747,0.059515
2018-04-10-21-30,0.05939508,0.05998999,0.0599069,83.93554101,0.05979982
2018-04-10-22-00,0.0599069,0.06,0.0599969,18.39787805,0.05998999
2018-04-10-22-30,0.05964001,0.06,0.06,16.59428372,0.0599969
2018-04-10-23-00,0.05983062,0.06015377,0.05984217,19.0055237,0.05998979
2018-04-10-23-30,0.05984217,0.06015361,0.06007,7.50362169,0.05984217
2018-04-11-00-00,0.05984124,0.06014999,0.05998888,5.24284621,0.06006773
2018-04-11-00-30,0.05981934,0.06009459,0.06002,11.57819704,0.05991021
2018-04-11-01-00,0.059985,0.0601536,0.0601536,7.94617064,0.060005
2018-04-11-01-30,0.0601,0.06045243,0.06041977,33.53588747,0.06015359
2018-04-11-02-00,0.06031923,0.06073382,0.06073382,15.51388409,0.06041976
2018-04-11-02-30,0.06010003,0.060825,0.06040957,34.08386005,0.06062022
2018-04-11-03-00,0.06025898,0.06066499,0.060605,6.95797699,0.06040957
2018-04-11-03-30,0.06058429,0.06079323,0.06075999,21.82476971,0.0606059
2018-04-11-04-00,0.060705,0.061,0.06094455,22.75288681,0.060705
2018-04-11-04-30,0.06094455,0.06121,0.06100003,16.25305333,0.06094456
2018-04-11-05-00,0.0606,0.06103499,0.06071245,28.77552331,0.06100001
2018-04-11-05-30,0.0604798,0.06093679,0.06084977,29.929261,0.06071245
2018-04-11-06-00,0.06080266,0.06099868,0.06099867,21.66266359,0.06087429
2018-04-11-06-30,0.0608,0.06104922,0.0608,8.38302795,0.0609001
2018-04-11-07-00,0.06054273,0.06080938,0.0607,13.05296933,0.0608
2018-04-11-07-30,0.06039129,0.0607,0.06052182,9.98150603,0.0607
2018-04-11-08-00,0.06029413,0.06052478,0.06048874,34.9304692,0.06052182
2018-04-11-08-30,0.06036411,0.06084061,0.06081455,30.56829319,0.06048852
2018-04-11-09-00,0.06074998,0.06147681,0.06137,87.90044469,0.06074998
2018-04-11-09-30,0.06116529,0.06145867,0.06129198,23.857238,0.06137
2018-04-11-10-00,0.06079074,0.06129793,0.06097,47.5717242,0.06129084
2018-04-11-10-30,0.06097,0.06118737,0.06101,11.61225158,0.06111975
2018-04-11-11-00,0.06097,0.06116457,0.06105978,6.71257396,0.06102
2018-04-11-11-30,0.06078093,0.06105956,0.06092365,19.544634,0.06105956
2018-04-11-12-00,0.06067555,0.06096245,0.060765,21.87174433,0.06085874
2018-04-11-12-30,0.06063308,0.06092999,0.060775,21.42209485,0.06076502
2018-04-11-13-00,0.06064355,0.06095979,0.06082861,14.62104593,0.060645
2018-04-11-13-30,0.06071224,0.06112248,0.06090921,12.61343138,0.06091421
2018-04-11-14-00,0.0606752,0.06090921,0.06070214,6.91629191,0.0609
2018-04-11-14-30,0.06049958,0.06081959,0.06049958,24.30437753,0.06070234
2018-04-11-15-00,0.06012547,0.06061712,0.06054866,28.56322918,0.06049769
2018-04-11-15-30,0.06040521,0.06054911,0.06045022,6.74132065,0.06047
2018-04-11-16-00,0.06041287,0.06066931,0.06054502,3.9267892,0.06044501
2018-04-11-16-30,0.06048422,0.060731,0.060731,5.22371025,0.06054501
2018-04-11-17-00,0.0605,0.06073883,0.0607,16.05732656,0.060731
2018-04-11-17-30,0.06065,0.061,0.06074893,26.64065251,0.060655
2018-04-11-18-00,0.06043299,0.06075,0.06067023,11.97584895,0.06069995
2018-04-11-18-30,0.060705,0.061,0.06094,13.16329912,0.06072298
2018-04-11-19-00,0.06068104,0.06099498,0.06070044,7.68636985,0.06092523
2018-04-11-19-30,0.06064978,0.06088828,0.0607,3.25296908,0.06066
2018-04-11-20-00,0.06042459,0.06087676,0.06072004,41.74929785,0.0607
2018-04-11-20-30,0.06067,0.0608885,0.06078001,14.37286319,0.06072004
2018-04-11-21-00,0.060775,0.061501,0.061305,211.0141001,0.060785
2018-04-11-21-30,0.06109,0.06143455,0.06115108,65.14709603,0.061305
2018-04-11-22-00,0.06080393,0.06116,0.06114477,17.42179263,0.06114801
2018-04-11-22-30,0.06094004,0.06137019,0.06112521,66.60732551,0.06094004
2018-04-11-23-00,0.06098001,0.06112521,0.06099,55.89907486,0.06112477
2018-04-11-23-30,0.06091022,0.06099,0.0609522,80.05250703,0.06098979
2018-04-12-00-00,0.06087576,0.0609522,0.060899,31.83150198,0.0609522
2018-04-12-00-30,0.06078855,0.0609001,0.0609001,51.49508437,0.060899
2018-04-12-01-00,0.06082001,0.0609001,0.0609001,16.95662856,0.06089988
2018-04-12-01-30,0.060855,0.06091001,0.06091001,32.70313876,0.06089267
2018-04-12-02-00,0.06090009,0.06091001,0.06091001,74.94875674,0.06091001
2018-04-12-02-30,0.060865,0.06091001,0.06091001,239.8066325,0.06090502
2018-04-12-03-00,0.06086502,0.06169999,0.06157521,165.5052108,0.06091
2018-04-12-03-30,0.06155849,0.06211073,0.06185804,264.0782972,0.06158522
2018-04-12-04-00,0.0616501,0.06225179,0.06206,75.86075326,0.0619
2018-04-12-04-30,0.06206504,0.06255,0.06246806,62.31770115,0.06206504
2018-04-12-05-00,0.06110702,0.0625,0.06249935,55.85170426,0.06246829
2018-04-12-05-30,0.06204033,0.06250913,0.06246494,72.99336168,0.06249934
2018-04-12-06-00,0.06230258,0.06249986,0.06241021,10.7694096,0.06240266
2018-04-12-06-30,0.06234008,0.0627,0.06253503,31.67009602,0.06242023
2018-04-12-07-00,0.06257454,0.06299999,0.06290525,43.79726213,0.06261808
2018-04-12-07-30,0.06231269,0.063,0.062835,30.15504371,0.06290027
2018-04-12-08-00,0.06237024,0.06286,0.06237112,34.65599726,0.06283498
2018-04-12-08-30,0.0623125,0.06260019,0.0626,20.95291006,0.06243302
2018-04-12-09-00,0.0623635,0.0627,0.06252891,18.41179598,0.0626
